Age,Gender,Movie List [Spiderman-No Way Home],Movie List [Black Widow],Movie List [A Quiet Place Part II],Movie List [The Power of the Dog],Movie List [Dune],Movie List [No Time To Die],Movie List [Shang-Chi and the Legend of the Ten Rings],Movie List [Old],Movie List [Red Notice],Movie List [Jurassic World: Dominion],Movie List [West Side Story],Movie List [Doctor Strange in the Multiverse of Madness],Movie List [Top Gun: Maverick],Movie List [The Tomorrow War],Movie List [Marry Me],Movie List [Turning Red],Movie List [Fantastic Beasts: The Secrets of Dumbledore],Movie List [Redeeming Love],Movie List [Lightyear],Movie List [Nope]
24,Female,5,4,5,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,3,4,5,I didn't watch this movie.,5,I didn't watch this movie.,5,I didn't watch this movie.,I didn't watch this movie.,2,I didn't watch this movie.,I didn't watch this movie.,5
30,Other,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.
28,Male,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,Male,2,,,,,,3,,,,,4,,,,,1,,3,
24,Female,5,4,4,5,3,2,2,3,I didn't watch this movie.,I didn't watch this movie.,5,I didn't watch this movie.,5,5,4,5,I didn't watch this movie.,5,5,5
47,Female,3,3,,4,3,3,,3,,3,,,4,,2,,,,1,3
33,Male,4,4,I didn't watch this movie.,5,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,5,5,3,I didn't watch this movie.,4,,4,I didn't watch this movie.,I didn't watch this movie.,4,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.
26,Male,4,,,,,,,,,,,,,,,,4,,,
Whelp after completing this i feel old lol,Female,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.
28,Female,I didn't watch this movie.,3,3,5,5,I didn't watch this movie.,4,3,I didn't watch this movie.,5,1,4,I didn't watch this movie.,I didn't watch this movie.,2,4,2,4,4,4
30,Male,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.
28,Female,4,5,4,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,3,4,4,I didn't watch this movie.,3,I didn't watch this movie.,5,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,I didn't watch this movie.,5
